segment,선크림,스노우보드,스키,스키장
20대 여성,48.803566000000004,30.448514857142857,28.72534742857143,17.453226571428573
30대 여성,50.46454657142857,26.662938285714286,32.21276457142857,20.314635428571428
40대 여성,50.13639285714286,27.581547714285716,25.12335057142857,18.097775714285714
20대 남성,47.77540657142857,19.693815999999998,23.50764285714286,18.374889714285715
30대 남성,50.62847342857143,21.237507714285716,26.556113142857143,19.772143714285715
40대 남성,48.93123571428572,25.42860742857143,25.657328285714286,20.508769428571426
